SampleID	Tissue	Genotype	Treatment	Replicate	paired
s01	shoot	B73		1	TRUE
s02	shoot	PH207		1	TRUE
s03	root	B73		1	TRUE
s04	root	PH207		1	TRUE
s05	unk	unk		1	TRUE
s06	unk	unk		2	TRUE
s07	unk	unk		3	TRUE
s08	unk	unk		4	TRUE
s09	unk	unk		5	TRUE
s10	unk	unk		6	TRUE
s11	unk	unk		7	TRUE
s12	unk	unk		8	TRUE
s13	unk	unk		9	TRUE
s14	unk	unk		10	TRUE
s15	unk	unk		11	TRUE
s16	unk	unk		12	TRUE
s17	unk	unk		13	TRUE
s18	unk	unk		14	TRUE
s19	unk	unk		15	TRUE
s20	unk	unk		16	TRUE
s21	unk	unk		17	TRUE
s22	unk	unk		18	TRUE
s23	unk	unk		19	TRUE
s24	unk	unk		20	TRUE
s25	unk	unk		21	TRUE
s26	unk	unk		22	TRUE
s27	unk	unk		23	TRUE
s28	unk	unk		24	TRUE
s29	unk	unk		25	TRUE
s30	unk	unk		26	TRUE
s31	unk	unk		27	TRUE
s32	unk	unk		28	TRUE
s33	unk	unk		29	TRUE
s34	unk	unk		30	TRUE
s35	unk	unk		31	TRUE
s36	unk	unk		32	TRUE
s37	unk	unk		33	TRUE
s38	unk	unk		34	TRUE
s39	unk	unk		35	TRUE
s40	unk	unk		36	TRUE
s41	unk	unk		37	TRUE
s42	unk	unk		38	TRUE
s43	unk	unk		39	TRUE
s44	unk	unk		40	TRUE
s45	unk	unk		41	TRUE
s46	unk	unk		42	TRUE
s47	unk	unk		43	TRUE
s48	unk	unk		44	TRUE
s49	unk	unk		45	TRUE
s50	unk	unk		46	TRUE
s51	unk	unk		47	TRUE
s52	unk	unk		48	TRUE
